ACCESSION: MycoMSB-HZI-000579
RECORD_TITLE: Colposetin A; timsTOF; MS2; CE:34.7; [M+H]+
DATE: 2026.06.26
AUTHORS: Unknown
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Colpoma sp.
PUBLICATION: doi:10.3390/biom11060783
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Colposetin A
CH$FORMULA: C26H37NO7
CH$EXACT_MASS: 475.2570
CH$SMILES: CC(=O)O[C@H](C(=O)O)[C@@H](C)[C@@H]1C(C)=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)[C@@H](C)N(C)C1=O
CH$IUPAC: InChI=1S/C26H37NO7/c1-12-8-9-18-17(10-12)11-13(2)20(14(3)22(25(32)33)34-16(5)28)26(18,6)23(30)19-21(29)15(4)27(7)24(19)31/h11-12,14-15,17-18,20,22,30H,8-10H2,1-7H3,(H,32,33)/t12-,14+,15-,17+,18-,20+,22+,26+/m1/s1
CH$LINK: INCHIKEY XWTALPIXEKTSAZ-NXCOISIBSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.69767441860465
AC$MASS_SPECTROMETRY: CCS 182.95974731445312
MS$FOCUSED_ION: BASE_PEAK 476.26428
MS$FOCUSED_ION: PRECURSOR_M/Z 476.26428
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0988200000-a79fd361f957fa8793a8
PK$NUM_PEAK: 461
PK$PEAK: m/z int. rel.int.
  284.16633 0.0231037 23
  285.12310 0.0137603 14
  285.13102 0.00772955 8
  285.16536 0.00594581 6
  286.14618 0.00713497 7
  286.18288 0.0277754 28
  287.14459 0.0107025 11
  287.18040 0.0231037 23
  288.15637 0.0350803 35
  288.19254 0.00781449 8
  289.15993 0.0293043 29
  289.17657 0.0902913 90
  290.16092 0.00908859 9
  290.18175 0.0519834 52
  291.13961 0.0107025 11
  291.16630 0.00968317 10
  291.17825 0.0104476 10
  291.38521 0.00577593 6
  292.16120 0.02132 21
  292.20551 0.00764461 8
  293.17157 0.0203007 20
  293.17961 0.011297 11
  294.13387 0.00806931 8
  294.17947 0.0146097 15
  294.22240 0.00705003 7
  295.16223 0.00985305 10
  295.20254 0.00815425 8
  296.15836 0.0225941 23
  296.16291 0.0225941 23
  296.17354 0.00840907 8
  296.20315 0.00552111 6
  297.17040 0.00603075 6
  299.14480 0.00840907 8
  299.16374 0.00679521 7
  299.18268 0.00942835 9
  300.15636 0.0205555 21
  300.19637 0.018432 18
  301.16103 0.00781449 8
  301.18817 0.00696509 7
  302.14177 0.0143549 14
  302.17918 0.0135904 14
  302.21247 0.0166483 17
  303.17858 0.0125711 13
  303.21590 0.0116368 12
  305.15641 0.00688015 7
  305.20286 0.00645545 6
  306.13268 0.00637051 6
  306.14637 0.00772955 8
  307.13793 0.0102778 10
  307.18691 0.0319375 32
  307.19824 0.015629 16
  308.23588 0.0261616 26
  309.16987 0.0162236 16
  310.14427 0.00772955 8
  310.24896 0.0100229 10
  311.18554 0.0243778 24
  311.19471 0.00721991 7
  312.15848 0.00755967 8
  312.19452 0.0844305 84
  312.34920 0.00654039 7
  313.17633 0.00560605 6
  313.19808 0.032617 33
  313.21702 0.0183471 18
  314.17808 0.0310881 31
  314.21317 0.0177525 18
  314.24020 0.0186868 19
  314.24852 0.00985305 10
